Mit Aktien eines einzelnen Unternehmens zu handeln, mag vielleicht vielen deutschen Anlegern bereits als riskante Strategie gelten.	"Komplizierte Sätze zum Studieren <br/>D.h. viele deutsche Anlegern sind möglicherweise der Meinung, dass das Handeln mit den Aktien eines einzelnen Unternehmen riskant ist. <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet118"">lookup</a>"
In weiten Teilen der Partei und bei der Basis ist Ex-Präsident Trump aber nach wie vor sehr populär. Das führt zu heftigen Konflikten zwischen dem moderaten und dem rechten Parteiflügel.	"Komplizierte Sätze zum Studieren <br/>Flügel ist nicht Plural, wie das Wort auf Englisch wäre <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet130"">lookup</a>"
Der Apgar-Score, auch Apgar-Index genannt, ist ein Punkteschema, mit dem sich der klinische Zustand von Neugeborenen standardisiert beurteilen lässt. Mit Hilfe <b>dieser ein, fünf und zehn Minuten nach der Entbindung durchzuführenden Beurteilung</b> wird der Zustand des Neugeborenen und dessen Anpassung an das Leben außerhalb der Gebärmutter, also die Überführung des fetalen in den neonatalen Zustand, beschrieben.	"Komplizierte Sätze zum Studieren <br/>Gebeugtes Infinitiv (hier: ‚durchzuführenden‘): <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet152"">lookup</a>"
Was verquer klingt (und ist), ist das Narrativ von QAnon. Seit 2017 verbreitet die vor allem in rechtsextremen Kreisen beliebte Bewegung Verschwörungsmythen, die sich um die Existenz eines angeblichen deep state drehen, um geheime, satanistische Machtstrukturen, die von den US-Demokraten aufrechterhalten werden, und die nur ein gewisser Donald Trump besiegen kann.	"Komplizierte Sätze zum Studieren <br/>Der Satz, der mit ‚Seit 2017‘ anfängt, ist schwer. Bedeutet: ‚Eine Bewegung hat Verschwörungsmythen verbreitet, und zwar seit 2017. Die Bewegung ist vor allem in rechtsextremen Kreisen beliebt. Die Verschwörungsmythen gehen um einen angeblichen deep state.‘ <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet242"">lookup</a>"
Am kommenden Wochenende zeigte der Hengst wiederum das <b>abartige</b> Verhalten.	"<b>abartig : </b><br/>[emotional abwertend, besonders in sexueller Hinsicht] von der Art, der Norm abweichend; in der übertragenen Form oftmals in negativ bewertetem Sinne. <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet313"">lookup</a>"
'Es ist <b>abartig</b>, was Sie in diesem Land machen', sagte der Politiker zum Bundeskanzler.	"<b>abartig : </b><br/>[emotional abwertend, besonders in sexueller Hinsicht] von der Art, der Norm abweichend; in der übertragenen Form oftmals in negativ bewertetem Sinne. <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet313"">lookup</a>"
<b>abartige</b> Neigungen, Vorlieben haben	"<b>abartig : </b><br/>[emotional abwertend, besonders in sexueller Hinsicht] von der Art, der Norm abweichend; in der übertragenen Form oftmals in negativ bewertetem Sinne. <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet313"">lookup</a>"
auf etwas <b>abartig</b> reagieren	"<b>abartig : </b><br/>[emotional abwertend, besonders in sexueller Hinsicht] von der Art, der Norm abweichend; in der übertragenen Form oftmals in negativ bewertetem Sinne. <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet313"">lookup</a>"
einen <b>abartig</b> hohen Preis für etwas verlangen	"<b>abartig : </b><br/>[umgangssprachlich emotional verstärkend, auf absurde Weise] unangemessen, merkwürdig <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet337"">lookup</a>"
Dieses Foto <b>bildet</b> meine Großmutter <b>ab</b>. Es ist das einzige Foto, auf dem sie zu sehen ist.	"<b>abbilden</b> :<br/>etwas visuell darstellen oder zeigen, etwa auf einem Foto oder in einer Zeichnung <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet410"">lookup</a>"
Der R-Wert [fürs Coronavirus] <b>bildet</b> jeweils das Infektionsgeschehen etwa eineinhalb Wochen zuvor <b>ab</b>.	"<b>abbilden</b> :<br/>etwas visuell darstellen oder zeigen, etwa auf einem Foto oder in einer Zeichnung <br/><a href=""https://zashaweinberg.github.io/ZashaGermanVocabulary/deutsch-woerter.html#bullet410"">lookup</a>"
